date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:32	5011/5011	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:31%20GMT	https://www.britishmuseum.org/support-us/supporter-case-studies	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/support-us/supporter-case-studies.2c.delayed	(from https://www.britishmuseum.org/)
14:26:33	4951/4951	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:32%20GMT	https://www.britishmuseum.org/support-us/volunteer	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/support-us/volunteer.2d.delayed	(from https://www.britishmuseum.org/)
14:26:35	4993/4993	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:32%20GMT	https://www.britishmuseum.org/support-us/existing-patrons	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/support-us/existing-patrons.2e.delayed	(from https://www.britishmuseum.org/)
14:26:35	4960/4960	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:34%20GMT	https://www.britishmuseum.org/support-us/leave-legacy	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/support-us/leave-legacy.2f.delayed	(from https://www.britishmuseum.org/)
14:26:35	5060/5060	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:35%20GMT	https://www.britishmuseum.org/support-us/american-friends-british-museum	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/support-us/american-friends-british-museum.30.delayed	(from https://www.britishmuseum.org/)
14:26:36	4888/4888	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:35%20GMT	https://www.britishmuseum.org/search	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/search.31.delayed	(from https://www.britishmuseum.org/)
14:26:36	103512/103512	---M--	200	added ('OK')	image/jpeg	etag:%2261aece92-19458%22	https://www.britishmuseum.org/sites/default/files/styles/1_1_media_small/public/2019-10/Great%20Court%2004.jpg?h=b771c6d0&itok=zzSdgfuN	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/sites/default/files/styles/1_1_media_small/public/2019-10/Great%20Court%2004eb02.jpg	(from https://www.britishmuseum.org/)
14:26:37	5096/5096	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:36%20GMT	https://www.britishmuseum.org/about-us/british-museum-story/architecture/great-court	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/about-us/british-museum-story/architecture/great-court.33.delayed	(from https://www.britishmuseum.org/)
14:26:37	4993/4993	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:36%20GMT	https://www.britishmuseum.org/exhibitions/bayeux-tapestry	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/exhibitions/bayeux-tapestry	(from https://www.britishmuseum.org/)
14:26:38	27064/27064	---M--	200	added ('OK')	image/jpeg	etag:%2269a01e7d-6e3a%22	https://www.britishmuseum.org/sites/default/files/styles/16_9_media_tiny/public/2026-02/Bayeux_Tapestry_teaser_1920x1080.jpg?h=57ddbe17&itok=o_Zn2Ri1	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/sites/default/files/styles/16_9_media_tiny/public/2026-02/Bayeux_Tapestry_teaser_1920x10804a5d.jpg	(from https://www.britishmuseum.org/)
14:26:38	5060/5060	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:37%20GMT	https://www.britishmuseum.org/exhibitions/hawaii-kingdom-crossing-oceans	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/exhibitions/hawaii-kingdom-crossing-oceans.36.delayed	(from https://www.britishmuseum.org/)
14:26:38	22192/22192	---M--	200	added ('OK')	image/jpeg	etag:%2268d67199-5a7f%22	https://www.britishmuseum.org/sites/default/files/styles/16_9_media_tiny/public/2025-09/Hawaii_teaser_1920x1080.jpg?h=91e50914&itok=2FdUOAg_	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/sites/default/files/styles/16_9_media_tiny/public/2025-09/Hawaii_teaser_1920x10806a01.jpg	(from https://www.britishmuseum.org/)
14:26:38	4948/4948	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:38%20GMT	https://www.britishmuseum.org/exhibitions/samurai	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/exhibitions/samurai	(from https://www.britishmuseum.org/)
14:26:39	14412/14412	---M--	200	added ('OK')	image/jpeg	etag:%2268f64592-384c%22	https://www.britishmuseum.org/sites/default/files/styles/16_9_media_tiny/public/2025-10/Samurai_teaser_2000x1160px.jpg?h=c34677e7&itok=lvJ67udq	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/sites/default/files/styles/16_9_media_tiny/public/2025-10/Samurai_teaser_2000x1160px05ed.jpg	(from https://www.britishmuseum.org/)
14:26:39	5096/5096	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:38%20GMT	https://www.britishmuseum.org/blog/zanj-rebellion-ancient-coin-reveals-fight-freedom	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/blog/zanj-rebellion-ancient-coin-reveals-fight-freedom.3a.delayed	(from https://www.britishmuseum.org/)
14:26:39	5156/5156	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:39%20GMT	https://www.britishmuseum.org/collection/animals/beatrix-potter-flopsy-bunnies-and-british-museum	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/collection/animals/beatrix-potter-flopsy-bunnies-and-british-museum	(from https://www.britishmuseum.org/)
14:26:40	4894/4894	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:39%20GMT	https://www.britishmuseum.org/research	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/research.3c.delayed	(from https://www.britishmuseum.org/)
14:26:40	4951/4951	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:39%20GMT	https://www.britishmuseum.org/our-work/departments	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/our-work/departments.3d.delayed	(from https://www.britishmuseum.org/)
14:26:41	4942/4942	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:40%20GMT	https://www.britishmuseum.org/our-work/national	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/our-work/national.3e.delayed	(from https://www.britishmuseum.org/)
14:26:41	4957/4957	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:41%20GMT	https://www.britishmuseum.org/our-work/international	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/our-work/international.3f.delayed	(from https://www.britishmuseum.org/)
14:26:42	4939/4939	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:41%20GMT	https://www.britishmuseum.org/collection/egypt	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/collection/egypt.40.delayed	(from https://www.britishmuseum.org/)
14:26:43	5017/5017	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:42%20GMT	https://www.britishmuseum.org/collection/desire-love-and-identity	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/collection/desire-love-and-identity.42.delayed	(from https://www.britishmuseum.org/)
14:26:44	237586/237586	---M--	200	added ('OK')	image/png	etag:%226422346f-3db26%22	https://www.britishmuseum.org/sites/default/files/styles/large/public/2019-07/mummy_mask-teaser.png?itok=by60cJnP	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/sites/default/files/styles/large/public/2019-07/mummy_mask-teaseraa36.png	(from https://www.britishmuseum.org/)
14:26:44	4945/4945	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:43%20GMT	https://www.britishmuseum.org/collection/animals	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/collection/animals.44.delayed	(from https://www.britishmuseum.org/)
14:26:45	121523/121523	---M--	200	added ('OK')	image/png	etag:%226422c533-1fb86%22	https://www.britishmuseum.org/sites/default/files/styles/large/public/2019-09/Untitled.png?itok=q1rwGiPR	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/sites/default/files/styles/large/public/2019-09/Untitled2e58.png	(from https://www.britishmuseum.org/)
